25
0,0,22947.24
0,5,10000.00
0,6,10000.00
0,7,10000.00
0,8,10000.00
0,9,10000.00
0,11,10000.00
0,12,10000.00
0,14,10000.00
0,16,10000.00
0,17,10000.00
0,19,10000.00
0,21,10000.00
0,22,10000.00
0,24,10000.00
1,1,20462.04
1,5,10000.00
1,6,10000.00
1,7,10000.00
1,8,10000.00
1,9,10000.00
1,10,10000.00
1,11,10000.00
1,12,10000.00
1,13,10000.00
1,14,10000.00
1,16,10000.00
1,17,10000.00
1,18,10000.00
1,19,10000.00
1,21,10000.00
1,22,10000.00
1,23,10000.00
1,24,10000.00
2,2,14686.23
2,5,10000.00
2,6,10000.00
2,7,10000.00
2,8,10000.00
2,9,10000.00
2,11,10000.00
2,12,10000.00
2,14,10000.00
2,16,10000.00
2,17,10000.00
2,19,10000.00
2,21,10000.00
2,22,10000.00
2,24,10000.00
3,3,19138.93
3,5,10000.00
3,6,10000.00
3,7,10000.00
3,8,10000.00
3,9,10000.00
3,10,10000.00
3,11,10000.00
3,12,10000.00
3,13,10000.00
3,14,10000.00
3,16,10000.00
3,17,10000.00
3,19,10000.00
3,21,10000.00
3,22,10000.00
3,24,10000.00
4,4,19671.26
4,5,10000.00
4,6,10000.00
4,7,10000.00
4,8,10000.00
4,9,10000.00
4,10,10000.00
4,11,10000.00
4,12,10000.00
4,13,10000.00
4,14,10000.00
4,16,10000.00
4,17,10000.00
4,19,10000.00
4,21,10000.00
4,22,10000.00
4,24,10000.00
5,0,10000.00
5,1,10000.00
5,2,10000.00
5,3,10000.00
5,4,10000.00
5,5,10386.27
5,12,10000.00
5,13,10000.00
5,14,10000.00
5,16,10000.00
5,17,10000.00
5,18,10000.00
5,19,10000.00
5,21,10000.00
5,23,10000.00
5,24,10000.00
6,0,10000.00
6,1,10000.00
6,2,10000.00
6,3,10000.00
6,4,10000.00
6,6,13757.10
6,10,10000.00
6,11,10000.00
6,12,10000.00
6,13,10000.00
6,14,10000.00
6,16,10000.00
6,17,10000.00
6,18,10000.00
6,19,10000.00
6,21,10000.00
6,23,10000.00
6,24,10000.00
7,0,10000.00
7,1,10000.00
7,2,10000.00
